LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Leistung_fval;Leistung_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in W;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
10;P6RRRRRR5V2G2P3A1;2;6RURU;08.01.2023 23:41:49;09.01.2023 04:39:26;29.295342;2081797349.99715;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;831;17653.652797
11;P6RRRRRR5V2G2P5A1;2;6RURU;08.01.2023 23:41:46;09.01.2023 04:38:32;7.150524;2203487961.30342;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;983;17622.455654
12;P6RRRRRR5V2G2P6A1;2;6RURU;08.01.2023 23:41:47;09.01.2023 04:38:16;142.306575;259.379647729043;i.O.;24.4967025373881;3.84983332062977;379.735820024699;67.8992838875369;235.40706430774;38.7606120799437;88.4458752045158;13.9831274799247;6.30601150900496;6.30601150900496;77.3006296851467;11.4785098130105;682.386570686304;18.3525688850411;321.623548202891;5.53080352258429;276.367966199183;69.5421562701512;557.230589164654;1.75059152527519;2267.22058168926;2.26722058168926;609.685567430814;2.84272657487814;975.884246393998;4397.64565321835;608.359075687669;0.141508867327366;834.953430578917;0.377040509004123;80.0075005517988;-32.4789444407785;99.9999999999937;101656962.713224;9.83700450328245e-09;24;781;17321.078841
13;P6RRRRRR5V2G6P2A1;2;6RURU;08.01.2023 23:41:46;09.01.2023 04:39:22;62.205877;209.024808637251;i.O.;32.2246996555704;5.06617161736065;450.498860385168;85.5436807296918;189.906517562856;30.7479437573085;159.749170236018;25.633642620431;13.18343282;13.18343282;80.8428701260794;12.851932909117;230.517853492654;3.78798387217263;163.640357273844;2.62860618585692;349.290268275604;91.6902508323716;244.499946396216;0.768119235401452;1692.81312012388;1.69281312012388;372.87225328456;1.32670988538446;986.479248796549;7846.26091215299;791.80576374437;0.294802102140709;885.107110745625;0.548069616095046;94.4530023911735;-8.73532082582813;99.9999999999947;120532426.522115;8.29652259441173e-09;12;720;17802.863402
14;P6RRRRRR5V2G6P3A1;2;6RURU;08.01.2023 23:41:46;09.01.2023 04:36:21;88.538449;209.823286132126;i.O.;27.2542641899041;4.28370714864197;407.007786992635;74.3497241608961;118.952429237428;18.9055335944331;65.6255932831044;10.3451138523568;4.53992895125233;4.53992895125233;57.4217901130153;6.10352729434074;350.444725004723;6.13762103491929;236.391133556166;3.89385195039325;289.43595304275;73.3195170625741;424.962146067908;1.33505795614069;1687.16377331322;1.68716377331322;477.814882921929;1.86524812016777;981.517320009827;5739.07478388248;737.198913358985;0.228324826169825;856.608392217255;0.436439341739741;86.0293821913436;-22.3041938323753;99.9999999999906;67429633.9603011;1.48302747807996e-08;41;364;17665.061344
15;P6RRRRRR5V2G6P5A1;2;6RURU;08.01.2023 23:41:46;09.01.2023 04:38:35;119.903598;243.551964837883;i.O.;28.8316935803267;4.5319707209435;432.87685196905;80.8597484089762;257.848237202924;42.8731562343296;133.013695193316;21.2031846797334;10.1753812192734;10.1753812192734;100.699556503022;24.2938022212892;176.870652966978;2.85203946087799;316.523568516445;5.42664692331425;382.582131854932;102.831751405251;349.180233115591;1.09698205513471;2067.06891149346;2.06706891149346;508.429675899434;2.05367913475645;982.788426025411;6163.14595194602;681.20797665546;0.182719733766665;785.512300270975;0.285492988515208;89.2125234208977;-17.1089934182859;99.9999999999975;252869429.368778;3.95461010251906e-09;60;255;17765.045066
16;P6RRRRRR5V2G6P6A1;2;6RURU;08.01.2023 23:41:46;09.01.2023 04:38:05;32.289861;2076976568.75859;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1034;17659.005931
17;P6RRRRRR6V2G2P1A1;2;6RUUR;08.01.2023 23:42:06;09.01.2023 04:39:18;40.334257;2517377050.27855;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1258;17600.837939
18;P6RRRRRR6V2G2P2A1;2;6RUUR;08.01.2023 23:42:07;09.01.2023 04:39:17;47.875088;2472792704.30647;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;556;17624.587593
19;P6RRRRRR6V2G2P3A1;2;6RUUR;08.01.2023 23:42:06;09.01.2023 04:39:12;58.552788;2306930481.88816;Bauraum-verl. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;533;17659.134221
